日/月,1,2,3,4,5,6,7,8,9,10,11,12
6,7.3 / 10,9.1 / 100,10.1 / 20,5.5 / 60,7.8 / 280,3.8 / 140,13.1 / 160,5.2 / 180,6.4 / 120,3.1 / 120,8.0 / 80,6.5 / 50
7,7.7 / 60,9.0 / 40,8.0 / 30,6.5 / 100,7.0 / 120,3.9 / 170,10.9 / 140,5.2 / 180,4.1 / 320,5.0 / 70,7.0 / 90,5.4 / 90
8,7.0 / 80,8.3 / 30,7.1 / 20,5.7 / 170,7.7 / 150,6.2 / 160,8.8 / 240,6.4 / 160,6.1 / 300,6.1 / 60,5.0 / 80,8.5 / 40
9,8.1 / 30,7.1 / 40,7.0 / 60,6.4 / 180,6.0 / 170,6.7 / 160,4.4 / 70,5.7 / 190,6.7 / 280,5.4 / 50,7.4 / 50,11.5 / 70
10,8.8 / 40,8.0 / 100,5.2 / 170,4.2 / 330,6.4 / 90,9.2 / 160,3.1 / 120,4.8 / 180,3.2 / 120,3.7 / 70,14.0 / 60,6.7 / 120
11,7.2 / 30,9.7 / 170,4.5 / 170,6.8 / 170,6.9 / 50,9.6 / 160,2.3 / 180,3.6 / 150,3.4 / 120,3.5 / 120,16.0 / 60,8.5 / 40
12,5.2 / 10,8.0 / 180,5.5 / 180,8.0 / 180,6.2 / 90,9.5 / 120,3.2 / 180,5.6 / 90,4.6 / 160,5.2 / 150,12.1 / 50,9.9 / 50
13,6.0 / 100,9.0 / 60,5.3 / 310,6.7 / 360,6.7 / 120,10.2 / 160,8.3 / 280,11.0 / 120,5.4 / 150,4.9 / 150,12.6 / 40,9.5 / 40
14,6.3 / 160,7.2 / 100,4.6 / 360,7.2 / 270,5.8 / 140,3.1 / 120,10.8 / 280,7.4 / 120,4.5 / 160,5.6 / 120,8.6 / 50,8.6 / 20
15,9.4 / 30,4.7 / 170,7.8 / 10,6.8 / 130,7.1 / 160,4.2 / 160,5.9 / 250,7.1 / 120,5.8 / 160,5.5 / 90,8.0 / 70,6.9 / 90
